name,url,team
Bol Bol,https://www.espn.com/nba/player/gamelog/_/id/4397102/bol-bol,BOS
Jaylen Brown,https://www.espn.com/nba/player/gamelog/_/id/3917376/jaylen-brown,BOS
P.J. Dozier,https://www.espn.com/nba/player/gamelog/_/id/3923250/pj-dozier,BOS
Bruno Fernando,https://www.espn.com/nba/player/gamelog/_/id/4277952/bruno-fernando,BOS
Enes Freedom,https://www.espn.com/nba/player/gamelog/_/id/6447/enes-freedom,BOS
Sam Hauser,https://www.espn.com/nba/player/gamelog/_/id/4065804/sam-hauser,BOS
Al Horford,https://www.espn.com/nba/player/gamelog/_/id/3213/al-horford,BOS
Romeo Langford,https://www.espn.com/nba/player/gamelog/_/id/4397008/romeo-langford,BOS
Aaron Nesmith,https://www.espn.com/nba/player/gamelog/_/id/4396909/aaron-nesmith,BOS
Payton Pritchard,https://www.espn.com/nba/player/gamelog/_/id/4066354/payton-pritchard,BOS
Josh Richardson,https://www.espn.com/nba/player/gamelog/_/id/2581190/josh-richardson,BOS
Dennis Schroder,https://www.espn.com/nba/player/gamelog/_/id/3032979/dennis-schroder,BOS
Marcus Smart,https://www.espn.com/nba/player/gamelog/_/id/2990992/marcus-smart,BOS
Jayson Tatum,https://www.espn.com/nba/player/gamelog/_/id/4065648/jayson-tatum,BOS
Brodric Thomas,https://www.espn.com/nba/player/gamelog/_/id/4407254/brodric-thomas,BOS
Grant Williams,https://www.espn.com/nba/player/gamelog/_/id/4066218/grant-williams,BOS
Robert Williams III,https://www.espn.com/nba/player/gamelog/_/id/4066211/robert-williams-iii,BOS
LaMarcus Aldridge,https://www.espn.com/nba/player/gamelog/_/id/2983/lamarcus-aldridge,BKN
DeAndre' Bembry,https://www.espn.com/nba/player/gamelog/_/id/3062667/deandre-bembry,BKN
Bruce Brown,https://www.espn.com/nba/player/gamelog/_/id/4065670/bruce-brown,BKN
Jevon Carter,https://www.espn.com/nba/player/gamelog/_/id/3133635/jevon-carter,BKN
Nic Claxton,https://www.espn.com/nba/player/gamelog/_/id/4278067/nic-claxton,BKN
